"","price","unit_size","land_size","age","todt","sales_year"
"494",180391,83.6127014160156,101.264266967773,1,0,2003
"495",225000,96.6191177368164,371.611999511719,44,0,2004
"496",3e+05,111.11198425293,75.8088455200195,18,0,2006
"497",485706,173.356994628906,174.657638549805,2,0,2006
"498",252971,94.7610626220703,267.096130371094,14,0,2006
"499",985000,431.441528320312,1793.02795410156,36,1,2006
"500",205000,86.306884765625,32.7947578430176,10,0,2011
"501",263000,128.206146240234,78.0385208129883,18,0,2011
"502",365000,262.636779785156,1216.10021972656,74,0,2004
"503",435000,115.942947387695,510.966491699219,104,0,2005
"504",499900,160.536376953125,371.611999511719,60,0,2010
"505",385000,163.880889892578,203.085952758789,5,0,2006
"506",915000,260.128387451172,464.515014648438,8,0,2012
"507",590000,236.902648925781,371.611999511719,19,0,2011
